Longitude,Latitude,EVI,LST,precipitation,Zona_Cluster,cluster
97.32025284,5.174497343,0.158534,24.57,6.5872536,4,0
97.32234491,5.174497343,0.107244,24.57,6.5872536,4,0
97.32443699,5.174497343,0.084732,24.57,6.5872536,4,0
97.32652907,5.174497343,0.081616,24.57,6.5872536,4,0
97.32862114,5.174497343,0.078948,24.57,6.5872536,4,0
97.33071322,5.174497343,0.086556,24.71,6.5872536,4,0
97.3328053,5.174497343,0.111258,24.71,6.5872536,4,0
97.33489737,5.174497343,0.133638776,24.71,6.5872536,4,0
97.33698945,5.174497343,0.12707551,24.71,6.5872536,4,0
97.33908152,5.174497343,0.111365116,25.09,6.5872536,4,0
97.3411736,5.174497343,0.1082,25.09,6.5872536,4,0
97.34326568,5.174497343,0.125521429,25.09,6.5872536,4,0
97.34535775,5.174497343,0.144221429,25.09,6.5872536,4,0
97.35581814,5.174497343,0.29,25.27,6.5872536,5,1
97.35791021,5.174497343,0.329497917,25.27,6.5872536,5,1
97.36000229,5.174497343,0.33687,25.27,6.5872536,5,1
97.36209436,5.174497343,0.328104,25.27,6.5872536,5,1
97.36418644,5.174497343,0.270648,25.27,6.5872536,4,1
97.36627852,5.174497343,0.181464,25.27,6.5872536,4,0
97.36837059,5.174497343,0.230954,25.27,6.5872536,4,0
97.37046267,5.174497343,0.285752,25.27,6.5872536,4,1
97.37255475,5.174497343,0.334924,25.39,6.5872536,5,1
97.37464682,5.174497343,0.373262,25.39,6.5872536,5,1
97.3767389,5.174497343,0.412022,25.39,6.5872536,5,1
97.37883098,5.174497343,0.41688,25.39,6.5872536,5,1
97.38092305,5.174497343,0.42459,25.51,6.5872536,5,1
97.38301513,5.174497343,0.411638,25.51,6.5872536,5,1
97.3851072,5.174497343,0.388324,25.51,6.5872536,5,1
97.38719928,5.174497343,0.402426,25.51,6.5872536,5,1
97.38929136,5.174497343,0.415906,25.45,6.5872536,5,1
97.39138343,5.174497343,0.405268,25.45,6.5872536,5,1
97.39347551,5.174497343,0.387078,25.45,6.5872536,5,1
97.39556759,5.174497343,0.358532,25.45,6.5872536,5,1
97.39765966,5.174497343,0.355972,25.33,6.5872536,5,1
97.39975174,5.174497343,0.35615,25.33,6.5872536,5,1
97.40184381,5.174497343,0.36328,25.33,7.083216,5,1
97.40393589,5.174497343,0.367686,25.33,7.083216,5,1
97.40602797,5.174497343,0.366718,25.27,7.083216,5,1
97.40812004,5.174497343,0.339774,25.27,7.083216,5,1
97.41021212,5.174497343,0.322018,25.27,7.083216,5,1
97.4123042,5.174497343,0.311978,25.27,7.083216,5,1
97.41439627,5.174497343,0.286168,25.95,7.083216,4,1
97.41648835,5.174497343,0.280704,25.95,7.083216,4,1
97.41858043,5.174497343,0.293538,25.95,7.083216,4,1
97.4206725,5.174497343,0.2993,25.95,7.083216,4,1
97.28855137,5.172413793,0.146893478,24.33,6.3384004,4,0
97.29064344,5.172413793,0.23893913,24.33,6.3384004,4,0
97.29273551,5.172413793,0.325185714,24.33,6.3384004,5,0
97.29482758,5.172413793,0.334495918,24.33,6.3384004,5,0
97.29691965,5.172413793,0.3250375,24.39,6.3384004,5,0
